amfi_code,scheme_name,alpha,beta,alpha_rank
119598,SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.023196062044059704,1.0
149324,DSP Small Cap Fund - Regular - Growth,0.3005787817097677,0.011455159960520695,2.0
120505,ICICI Pru Midcap Fund - Regular - Growth,0.2926358334175106,0.0005490042506317072,3.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246582,0.018133884083859235,4.0
120843,Kotak Flexicap Fund - Regular - Growth,0.27330465038306057,-0.02282956979242655,5.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2719535450128533,0.005103525830528319,6.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2698375144191807,0.023683558075848637,7.0
149323,DSP Midcap Fund - Regular - Growth,0.26598577542043045,-0.0025230046646992775,8.0
119094,Axis Midcap Fund - Regular - Growth,0.2607666908004223,-0.0662654286280376,9.0
119551,SBI Bluechip Fund - Regular Plan - Growth,0.23201007160635082,-0.031751441138909736,10.0
118632,Nippon India Large Cap Fund - Regular - Growth,0.21829397904608644,-0.008353832126962014,11.0
101206,ABSL Frontline Equity Fund - Regular - Growth,0.21399784776051212,0.021086316250128037,12.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.2119482701352573,0.016232169761416997,13.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942337,-0.026387719943843025,14.0
119552,SBI Bluechip Fund - Direct Plan - Growth,0.1986859936686296,-0.026159307513513426,15.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531766,0.04882040425957739,16.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.17703302365844073,-0.040268952369820595,17.0
118634,Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.10349663691337589,18.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17048756803412696,-0.019486785689474522,19.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998104,0.041896462728119775,20.0
102887,UTI Flexi Cap Fund - Regular - Growth,0.16211256794033255,0.016682689437770844,21.0
118633,Nippon India Large Cap Fund - Direct - Growth,0.1564383594816967,-0.03663900671860936,22.0
118635,Nippon India ETF Nifty 50 BeES,0.1513635464823924,-0.001433521389780124,23.0
149322,DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099432,-0.004050271130006523,24.0
120841,Kotak Bluechip Fund - Regular - Growth,0.13042924450705445,0.0363563990221998,25.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739151,26.0
101207,ABSL Small Cap Fund - Regular - Growth,0.10897091901704538,-0.06528924788351523,27.0
119093,Axis Bluechip Fund - Direct - Growth,0.08232801295222093,0.02588321244009315,28.0
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0780443887615508,0.018056874208118138,29.0
119092,Axis Bluechip Fund - Regular - Growth,0.0689952982167755,0.009730745001153646,30.0
120507,ICICI Pru Liquid Fund - Regular - Growth,0.06746210411099539,-0.0004440926329707229,31.0
120844,Kotak Liquid Fund - Regular - Growth,0.06455677495375998,-0.0004007442394784014,32.0
101208,ABSL Liquid Fund - Regular - Growth,0.060861457957871144,0.0002667096833823837,33.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05620895216638369,-0.006413850728276462,34.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.05074772999976104,0.0012566742731558514,35.0
119599,SBI Small Cap Fund - Direct Plan - Growth,0.048824215945539845,0.0620018043826717,36.0
119095,Axis Small Cap Fund - Regular - Growth,0.048015953637759554,-0.06695117463929204,37.0
100025,HDFC Short Term Debt Fund - Regular - Growth,0.042817920315060876,0.0011582183155281456,38.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.03747580763443281,-0.05826843143880892,39.0
102886,UTI Mid Cap Fund - Regular - Growth,0.028969397866379445,-0.042125029021894356,40.0
